Email,Password,First Name,Last Name,DoB,Phone #,Ethnicity,Address,Insurance,Income,Medication,Education,,1 -->,12th grade or less
alice.smith@email.com,pass9876,Alice,Smith,1990-04-25,555-987-6543,African-American,"123 PA-611, Stroudsburg, PA 18360",Cigna,48000,None,5,,2 -->,Graduated high school or equivalent
bob.jones@email.com,secretPass,Bob,Jones,1982-11-10,555-234-5678,Caucasian,"1401 Broad St, Endicott, NY 13760",UnitedHealth Group,23000,Allergy Med,5,,3 -->,"Some college, no degree"
emily.wang@email.com,secure123,Emily,Wang,1988-07-15,555-876-5432,Asian,"3740 Timber Creek Ct, Eau Claire, WI 54701",Aetna (a subsidiary of CVS Health),79000,Insulin,5,,4 -->,Associate degree
michael.davis@email.com,passWord12,Michael,Davis,1975-02-03,555-345-6789,Hispanic,"22 Main St, Hamburg, NY 14075",Humana,34000,Statin,3,,5 -->,Bachelor's degree
sarah.jackson@email.com,sarahtime,Sarah,Jackson,1984-09-20,555-654-3210,Caucasian,"800 N Larkin Ave, Joliet, IL 60435","Anthem, Inc.",13000,Asthma Inhaler,1,,6 -->,Post-graduate degree
alex.nguyen@email.com,alexPass,Alex,Nguyen,1995-06-12,555-543-2109,Asian,"3815 Austinburg Rd, Ashtabula, OH 44004",Blue Cross Blue Shield Association (BCBSA),124000,Antibiotics,2,,,
olivia.miller@email.com,oliviaP4ss,Olivia,Miller,1980-12-28,555-789-0123,Caucasian,"447 Belmont Ave, Haledon, NJ 07508",Kaiser Permanente,38000,None,4,,,
daniel.johnson@email.com,danielPass,Daniel,Johnson,1993-03-08,555-012-3456,African-American,"7020 Slater Pines Dr, North Fort Myers, FL 33917",Molina Healthcare,138000,Allergy Med,6,,,
grace.wilson@email.com,grace1234,Grace,Wilson,1987-05-30,555-234-5678,Caucasian,"84 Broadway, New Haven, CT 06511",Centene Corporation,159000,None,3,,,
john.doe@email.com,pass1234,John,Doe,1985-07-12,555-123-4567,Caucasian,"4 Miller St, Macungie, PA 18062",Health Care Service Corporation (HCSC),55000,Metformin,2,,,
